#  ID                log(P)        A0(V)       R21(V)     R31(V)    A0(I)      R21(I)     R31(I)     PC1(V)     PC2(V)     PC1(I)     PC2(I)
OGLE-LMC-CEP-0162    0.7010859     15.503      0.327      0.111     14.738      0.348      0.117      0.020      0.042      0.043     -0.064
OGLE-LMC-CEP-0163    0.5367261     15.770      0.540      0.334     15.112      0.462      0.254      0.032     -0.064     -0.010      0.114
OGLE-LMC-CEP-0164    0.4441722     16.545      0.423      0.222     15.722      0.440      0.217     -0.055     -0.123      0.006      0.076
OGLE-LMC-CEP-0165    0.5088943     16.320      0.454      0.270     15.484      0.446      0.255      0.064     -0.021      0.007      0.102
OGLE-LMC-CEP-0166    0.4977923     16.164      0.469      0.294     15.393      0.458      0.273      0.008     -0.116      0.063      0.149
OGLE-LMC-CEP-0167    1.0972843     14.441      0.026      0.144     13.576      0.027      0.166     -0.348      0.098      0.349     -0.124
OGLE-LMC-CEP-0168    0.2441134     17.048      0.421      0.231     16.282      0.434      0.243     -0.137     -0.161      0.114      0.100
OGLE-LMC-CEP-0169    0.7616938     15.703      0.440      0.141     14.817      0.419      0.145      0.175      0.069     -0.145     -0.018
OGLE-LMC-CEP-0170    0.6009297     16.351      0.439      0.235     15.444      0.465      0.245      0.113      0.055     -0.112      0.023
OGLE-LMC-CEP-0171    0.5330363     16.259      0.446      0.223     15.426      0.450      0.237      0.057     -0.023     -0.068      0.029
OGLE-LMC-CEP-0172    0.4007378     16.700      0.536      0.213     15.893      0.483      0.254     -0.147     -0.178      0.049      0.132
OGLE-LMC-CEP-0173    0.4875377     16.498      0.423      0.228     15.603      0.448      0.234     -0.014     -0.072     -0.003      0.066
OGLE-LMC-CEP-0174    1.2003779     14.789      0.150      0.148     13.668      0.128      0.148     -0.013      0.156     -0.030     -0.197
OGLE-LMC-CEP-0175    0.4777135     16.165      0.496      0.299     15.483      0.486      0.295     -0.019     -0.058      0.058      0.156
OGLE-LMC-CEP-0176    0.4403916     16.369      0.455      0.250     15.586      0.475      0.265     -0.049     -0.121      0.050      0.130
OGLE-LMC-CEP-0177    0.6310837     15.856      0.404      0.220     15.030      0.415      0.208      0.101      0.021     -0.047      0.024
OGLE-LMC-CEP-0179    0.4175023     16.546      0.434      0.231     15.767      0.439      0.226     -0.036     -0.080      0.028      0.078
OGLE-LMC-CEP-0180    0.0158693     17.632      0.434      0.209     16.934      0.409      0.201     -0.293     -0.186      0.361      0.189
OGLE-LMC-CEP-0181    0.5686618     15.956      0.368      0.154     15.206      0.379      0.147     -0.104     -0.021     -0.010     -0.054
OGLE-LMC-CEP-0186    0.7307305     16.149      0.368      0.110     15.154      0.379      0.115      0.176      0.137     -0.152     -0.092
OGLE-LMC-CEP-0188    0.2170706     17.032      0.421      0.226     16.330      0.440      0.240     -0.177     -0.178      0.145      0.110
OGLE-LMC-CEP-0189    0.7723185     15.728      0.466      0.197     14.805      0.450      0.187      0.239      0.101     -0.120      0.020
OGLE-LMC-CEP-0191    0.5255636     16.081      0.460      0.306     15.350      0.457      0.272      0.016     -0.103     -0.016      0.100
OGLE-LMC-CEP-0194    0.4976984     16.232      0.359      0.172     15.451      0.365      0.150     -0.066     -0.032      0.063     -0.017
OGLE-LMC-CEP-0196    0.3614424     16.711      0.494      0.271     15.914      0.481      0.261     -0.044     -0.120      0.148      0.173
OGLE-LMC-CEP-0197    0.4179934     16.450      0.530      0.304     15.674      0.486      0.265     -0.088     -0.121      0.014      0.105
OGLE-LMC-CEP-0198    0.3085617     16.674      0.480      0.282     15.975      0.466      0.262     -0.099     -0.148      0.134      0.141
OGLE-LMC-CEP-0199    0.6334375     16.000      0.434      0.229     15.142      0.443      0.220      0.121      0.018     -0.144     -0.011
OGLE-LMC-CEP-0201    0.4100331     16.450      0.452      0.202     15.703      0.434      0.205     -0.076     -0.102      0.083      0.099
OGLE-LMC-CEP-0205    0.4219984     16.730      0.420      0.217     15.875      0.444      0.221     -0.085     -0.192     -0.001      0.057
OGLE-LMC-CEP-0206    0.5149206     16.041      0.434      0.239     15.289      0.444      0.244      0.007     -0.090      0.001      0.094
OGLE-LMC-CEP-0209    0.4945336     16.449      0.851      0.408     15.530      0.303      0.081     -0.077      0.006      0.041     -0.116
OGLE-LMC-CEP-0210    0.6800837     15.770      0.230      0.055     14.910      0.220      0.039     -0.198      0.084      0.149     -0.185
OGLE-LMC-CEP-0211    0.3217549     16.479      0.457      0.234     15.802      0.460      0.251     -0.081     -0.148      0.178      0.147
OGLE-LMC-CEP-0212    1.0908417     14.854      0.200      0.109     13.878      0.164      0.114      0.225      0.113     -0.279     -0.117
OGLE-LMC-CEP-0213    0.2176066     16.924      0.500      0.350     16.285      0.496      0.369     -0.199     -0.268      0.177      0.235
OGLE-LMC-CEP-0214    0.3845371     16.576      0.237      0.065     15.849      0.267      0.047     -0.284      0.008      0.217     -0.089
OGLE-LMC-CEP-0215    0.4057228     16.835      0.411      0.202     15.964      0.429      0.167     -0.095     -0.095      0.021      0.031
OGLE-LMC-CEP-0216    0.5313020     16.142      0.446      0.249     15.359      0.453      0.263      0.058     -0.142     -0.011      0.095
OGLE-LMC-CEP-0217    0.4829961     16.545      0.481      0.258     15.692      0.490      0.289      0.021     -0.125      0.035      0.176
OGLE-LMC-CEP-0218    0.9355899     15.341      0.228      0.071     14.382      0.241      0.064     -0.493      0.382      0.483     -0.321
OGLE-LMC-CEP-0222    0.4308614     16.388      0.428      0.208     15.615      0.446      0.232     -0.003     -0.085      0.031      0.098
OGLE-LMC-CEP-0223    0.9158832     15.258      0.253      0.154     14.316      0.259      0.170     -0.613      0.300      0.564     -0.249
