#  ID                log(P)        A0(V)       R21(V)     R31(V)    A0(I)      R21(I)     R31(I)     PC1(V)     PC2(V)     PC1(I)     PC2(I)
OGLE-LMC-CEP-1773    0.5523171     15.851      0.429      0.217     15.113      0.434      0.237      0.031     -0.070     -0.021      0.067
OGLE-LMC-CEP-1774    0.4720490     16.080      0.457      0.246     15.345      0.447      0.246     -0.018     -0.091      0.074      0.127
OGLE-LMC-CEP-1776    0.4117275     16.357      0.462      0.247     15.616      0.456      0.242     -0.006     -0.095      0.037      0.102
OGLE-LMC-CEP-1777    0.6660373     15.765      0.416      0.159     14.946      0.409      0.151      0.091      0.053     -0.139     -0.062
OGLE-LMC-CEP-1778    0.6840435     15.681      0.432      0.194     14.859      0.428      0.200      0.124      0.046     -0.143     -0.037
OGLE-LMC-CEP-1779    0.3881395     16.392      0.439      0.240     15.751      0.421      0.235      0.001     -0.093      0.183      0.179
OGLE-LMC-CEP-1780    0.5819129     15.755      0.394      0.169     15.035      0.394      0.180      0.023     -0.026     -0.053     -0.015
OGLE-LMC-CEP-1781    0.4242002     16.417      0.472      0.274     15.680      0.475      0.258     -0.104     -0.168      0.046      0.123
OGLE-LMC-CEP-1782    0.8688296     15.098      0.314      0.039     14.287      0.304      0.065      0.228      0.231     -0.232     -0.212
OGLE-LMC-CEP-1784    1.0278617     14.962      0.073      0.121     14.022      0.048      0.131     -0.377      0.215      0.295     -0.268
OGLE-LMC-CEP-1785    0.7407463     15.460      0.425      0.144     14.656      0.412      0.146      0.197      0.081     -0.201     -0.060
OGLE-LMC-CEP-1786    0.4641455     16.156      0.456      0.243     15.447      0.446      0.241      0.028     -0.085      0.045      0.115
OGLE-LMC-CEP-1787    0.6182584     15.939      0.435      0.181     15.097      0.413      0.184      0.082      0.039     -0.098     -0.029
OGLE-LMC-CEP-1788    0.3754277     16.896      0.471      0.224     16.035      0.470      0.239     -0.053     -0.109      0.035      0.096
OGLE-LMC-CEP-1789    0.2436531     16.917      0.336      0.245     16.193      0.464      0.246     -0.188     -0.235      0.153      0.127
OGLE-LMC-CEP-1790    0.4242407     16.425      0.317      0.142     15.712      0.340      0.141      0.003      0.022      0.037     -0.019
OGLE-LMC-CEP-1791    0.5636257     15.761      0.415      0.194     15.045      0.403      0.202      0.063     -0.001     -0.020      0.024
OGLE-LMC-CEP-1792    0.4540362     16.046      0.460      0.250     15.345      0.441      0.233      0.030     -0.074      0.018      0.089
OGLE-LMC-CEP-1793    0.7501820     15.757      0.397      0.122     14.841      0.390      0.121      0.138      0.091     -0.207     -0.116
OGLE-LMC-CEP-1794    0.6367736     15.781      0.414      0.218     14.938      0.425      0.221      0.083     -0.006     -0.015      0.062
OGLE-LMC-CEP-1795    0.4395028     16.218      0.443      0.236     15.518      0.451      0.245     -0.021     -0.098      0.029      0.105
OGLE-LMC-CEP-1796    0.4262701     16.021      0.486      0.272     15.436      0.474      0.257     -0.013     -0.092      0.038      0.118
OGLE-LMC-CEP-1797    0.6646436     15.658      0.423      0.174     14.876      0.425      0.181      0.106      0.055     -0.159     -0.057
OGLE-LMC-CEP-1798    0.5244944     15.925      0.408      0.212     15.203      0.415      0.211      0.008     -0.046     -0.055      0.006
OGLE-LMC-CEP-1799    0.6992578     15.386      0.390      0.164     14.660      0.434      0.195      0.136      0.026     -0.146     -0.021
OGLE-LMC-CEP-1800    0.4866762     15.854      0.420      0.226     15.216      0.418      0.225     -0.024     -0.088      0.073      0.086
OGLE-LMC-CEP-1802    0.7791234     15.365      0.144      0.021     14.530      0.167      0.016     -0.176      0.230      0.194     -0.225
OGLE-LMC-CEP-1804    0.8405247     15.188      0.380      0.126     14.381      0.344      0.121      0.256      0.136     -0.276     -0.120
OGLE-LMC-CEP-1807    0.8638724     15.261      0.269      0.025     14.371      0.265      0.022      0.114      0.244     -0.134     -0.266
OGLE-LMC-CEP-1808    0.7044288     15.589      0.356      0.098     14.770      0.351      0.104      0.115      0.120     -0.096     -0.111
OGLE-LMC-CEP-1812    0.1182326     16.727      0.460      0.261     16.069      0.473      0.283     -0.235     -0.282     -0.200     -0.134
OGLE-LMC-CEP-1813    0.4451118     16.265      0.371      0.169     15.492      0.382      0.163     -0.100     -0.057      0.049     -0.005
OGLE-LMC-CEP-1814    0.6090054     15.898      0.317      0.117     15.159      0.315      0.103     -0.047      0.046      0.030     -0.068
OGLE-LMC-CEP-1819    0.4303944     16.231      0.434      0.234     15.530      0.443      0.230     -0.043     -0.094      0.033      0.093
OGLE-LMC-CEP-1820    0.5269933     16.025      0.350      0.133     15.273      0.333      0.125     -0.042      0.005      0.020     -0.046
OGLE-LMC-CEP-1824    0.4766583     16.204      0.408      0.198     15.455      0.413      0.206     -0.011     -0.025      0.024      0.037
OGLE-LMC-CEP-1826    0.5248579     16.135      0.453      0.219     15.384      0.438      0.226      0.014     -0.051     -0.055      0.026
OGLE-LMC-CEP-1827    0.4045732     16.458      0.469      0.255     15.683      0.459      0.240      0.014     -0.067      0.098      0.139
OGLE-LMC-CEP-1830    0.4807280     16.188      0.358      0.147     15.438      0.379      0.167     -0.034      0.007      0.091      0.039
OGLE-LMC-CEP-1831    0.7582659     15.114      0.451      0.181     14.394      0.442      0.177      0.133      0.004     -0.127      0.006
OGLE-LMC-CEP-1833    1.2824755     14.120      0.291      0.181     13.112      0.265      0.145      0.235      0.079     -0.425     -0.153
OGLE-LMC-CEP-1835    0.8605469     15.241      0.131      0.022     14.404      0.121      0.009     -0.526      0.270      0.458     -0.145
OGLE-LMC-CEP-1840    0.6702608     15.322      0.422      0.181     14.656      0.410      0.175      0.055     -0.038     -0.004      0.017
OGLE-LMC-CEP-1841    0.6936642     15.510      0.357      0.101     14.748      0.343      0.117      0.061      0.082     -0.082     -0.107
OGLE-LMC-CEP-1842    0.7397073     15.520      0.396      0.135     14.710      0.386      0.126      0.134      0.090     -0.160     -0.094
OGLE-LMC-CEP-1843    0.6516313     15.619      0.404      0.171     14.862      0.406      0.173      0.053      0.014     -0.105     -0.051
OGLE-LMC-CEP-1844    0.5170776     16.148      0.455      0.231     15.370      0.444      0.229     -0.036     -0.065     -0.003      0.072
OGLE-LMC-CEP-1845    0.3159194     16.442      0.435      0.215     15.798      0.429      0.217     -0.091     -0.109      0.105      0.094
OGLE-LMC-CEP-1846    0.5543811     15.855      0.439      0.226     15.115      0.412      0.218      0.069     -0.006     -0.006      0.060
OGLE-LMC-CEP-1848    0.5212488     16.177      0.440      0.233     15.387      0.447      0.234      0.019     -0.064     -0.022      0.068
OGLE-LMC-CEP-1849    0.5327113     16.064      0.415      0.214     15.296      0.420      0.212      0.021     -0.031     -0.029      0.017
OGLE-LMC-CEP-1850    0.5782313     16.317      0.377      0.146     15.425      0.380      0.169      0.041      0.015     -0.071     -0.034
OGLE-LMC-CEP-1851    0.5908985     15.621      0.405      0.200     14.923      0.400      0.195      0.039     -0.035     -0.034      0.009
OGLE-LMC-CEP-1856    0.3170933     16.734      0.469      0.266     16.008      0.475      0.274     -0.084     -0.128      0.074      0.141
OGLE-LMC-CEP-1857    0.6830798     15.564      0.276      0.091     14.791      0.281      0.087     -0.041      0.081      0.025     -0.140
OGLE-LMC-CEP-1862    1.1180943     14.768      0.088      0.123     13.780      0.072      0.140     -0.264      0.172      0.228     -0.218
OGLE-LMC-CEP-1865    0.5122813     16.196      0.421      0.177     15.387      0.404      0.187     -0.027     -0.024      0.037      0.035
OGLE-LMC-CEP-1866    0.8532943     15.040      0.386      0.178     14.271      0.356      0.189      0.221      0.084     -0.279     -0.076
OGLE-LMC-CEP-1870    0.7796485     15.257      0.423      0.155     14.457      0.406      0.141      0.170      0.073     -0.205     -0.070
OGLE-LMC-CEP-1871    0.4815463     16.142      0.438      0.251     15.382      0.423      0.231      0.003     -0.074      0.025      0.078
OGLE-LMC-CEP-1872    0.8045259     15.349      0.147      0.036     14.535      0.157      0.016     -0.163      0.270      0.194     -0.286
OGLE-LMC-CEP-1873    0.4883560     16.192      0.477      0.246     15.420      0.483      0.264      0.121     -0.003      0.007      0.116
OGLE-LMC-CEP-1875    0.3756651     16.387      0.439      0.204     15.674      0.438      0.210     -0.044     -0.093      0.118      0.131
OGLE-LMC-CEP-1876    0.6043156     15.866      0.328      0.136     15.060      0.318      0.111     -0.027      0.033      0.009     -0.075
OGLE-LMC-CEP-1878    0.5570004     15.887      0.465      0.253     15.196      0.453      0.243     -0.001     -0.044     -0.088      0.020
OGLE-LMC-CEP-1880    0.9340241     14.875      0.213      0.201     14.060      0.208      0.202     -0.629      0.251      0.664     -0.175
OGLE-LMC-CEP-1881    0.3453605     18.278      0.356      0.119     16.983      0.359      0.159     -0.135     -0.047      0.177      0.045
OGLE-LMC-CEP-1883    0.4741119     16.033      0.224      0.094     15.396      0.295      0.079     -0.122      0.032      0.057     -0.102
OGLE-LMC-CEP-1884    0.8904811     14.691      0.344      0.222     13.982      0.330      0.222      0.243      0.073     -0.191     -0.033
OGLE-LMC-CEP-1887    0.7539000     15.492      0.426      0.159     14.647      0.429      0.166      0.220      0.081     -0.192     -0.041
OGLE-LMC-CEP-1888    0.7329868     15.368      0.366      0.123     14.582      0.362      0.132      0.092      0.067     -0.105     -0.080
OGLE-LMC-CEP-1889    0.6071399     15.930      0.366      0.152     15.112      0.355      0.140     -0.032      0.013     -0.063     -0.095
OGLE-LMC-CEP-1890    0.4644301     16.065      0.455      0.237     15.392      0.441      0.237      0.009     -0.078      0.007      0.081
OGLE-LMC-CEP-1891    0.5269805     16.022      0.450      0.265     15.275      0.442      0.247      0.045     -0.035     -0.009      0.080
OGLE-LMC-CEP-1892    0.7226576     15.670      0.428      0.197     14.795      0.429      0.177      0.092      0.050     -0.188     -0.075
OGLE-LMC-CEP-1893    0.5713815     16.010      0.277      0.077     15.231      0.291      0.086     -0.126      0.019      0.029     -0.128
OGLE-LMC-CEP-1894    0.5409268     15.985      0.414      0.266     15.233      0.442      0.230      0.088     -0.000     -0.032      0.045
OGLE-LMC-CEP-1895    0.8120872     15.424      0.638      0.220     14.615      0.115      0.023     -0.331      0.376      0.513     -0.110
OGLE-LMC-CEP-1899    0.5969851     15.637      0.435      0.226     14.947      0.443      0.230      0.080     -0.032     -0.053      0.054
OGLE-LMC-CEP-1900    0.4475180     16.208      0.463      0.263     15.495      0.461      0.248     -0.023     -0.102      0.010      0.099
OGLE-LMC-CEP-1903    0.8258642     15.215      0.371      0.120     14.427      0.349      0.123      0.235      0.145     -0.238     -0.104
OGLE-LMC-CEP-1904    0.6097500     15.564      0.418      0.210     14.851      0.429      0.232      0.019     -0.076      0.026      0.086
OGLE-LMC-CEP-1905    0.4020617     16.454      0.387      0.186     15.739      0.379      0.162     -0.061     -0.057      0.024      0.001
OGLE-LMC-CEP-1907    0.4681343     16.313      0.317      0.109     15.523      0.320      0.099     -0.118     -0.005      0.084     -0.045
OGLE-LMC-CEP-1909    0.5774230     15.717      0.378      0.179     14.996      0.382      0.168      0.066      0.018     -0.035     -0.013
OGLE-LMC-CEP-1910    0.9808792     14.991      0.180      0.157     14.066      0.190      0.147     -0.580      0.201      0.607     -0.191
OGLE-LMC-CEP-1912    0.6885685     15.940      0.487      0.259     15.060      0.477      0.241      0.113     -0.013     -0.116      0.059
OGLE-LMC-CEP-1914    0.6995645     15.780      0.273      0.048     14.902      0.280      0.061     -0.043      0.119     -0.020     -0.221
OGLE-LMC-CEP-1920    0.8208618     15.331      0.371      0.100     14.489      0.360      0.091      0.220      0.154     -0.208     -0.137
OGLE-LMC-CEP-1921    0.4575934     16.059      0.416      0.199     15.295      0.405      0.199      0.022     -0.040      0.035      0.062
OGLE-LMC-CEP-1922    0.7734954     15.218      0.357      0.132     14.457      0.367      0.126      0.081      0.022     -0.033     -0.049
OGLE-LMC-CEP-1924    0.2728844     16.752      0.509      0.353     16.086      0.518      0.368     -0.156     -0.210      0.178      0.229
OGLE-LMC-CEP-1926    0.7764143     15.584      0.406      0.155     14.674      0.386      0.141      0.188      0.091     -0.136     -0.054
OGLE-LMC-CEP-1927    0.7181673     15.359      0.393      0.162     14.605      0.387      0.163      0.094      0.041     -0.077     -0.025
OGLE-LMC-CEP-1929    0.7658198     15.482      0.338      0.065     14.690      0.345      0.072      0.152      0.151     -0.140     -0.145
OGLE-LMC-CEP-1930    0.0641372     17.239      0.383      0.177     16.576      0.376      0.180     -0.142     -0.111      0.212      0.085
OGLE-LMC-CEP-1932    0.4693361     15.840      0.436      0.254     15.184      0.440      0.246     -0.031     -0.096      0.059      0.103
OGLE-LMC-CEP-1933    0.9726727     14.948      0.272      0.079     14.099      0.254      0.090     -0.270      0.048      0.328     -0.035
OGLE-LMC-CEP-1936    0.8066192     15.282      0.359      0.077     14.465      0.353      0.079      0.153      0.128     -0.165     -0.127
OGLE-LMC-CEP-1938    0.6103360     15.818      0.417      0.187     15.061      0.410      0.181      0.050      0.015     -0.108     -0.053
OGLE-LMC-CEP-1939    0.7821425     15.439      0.402      0.136     14.592      0.412      0.149      0.158      0.059     -0.160     -0.034
OGLE-LMC-CEP-1940    0.9721394     16.436      0.063      0.029     15.018      0.129      0.039     -0.512      0.209      0.402     -0.282
OGLE-LMC-CEP-1941    0.8329496     15.504      0.231      0.039     14.545      0.257      0.021      0.021      0.209     -0.006     -0.214
OGLE-LMC-CEP-1942    0.8562739     14.900      0.376      0.196     14.162      0.342      0.195      0.302      0.161     -0.270     -0.091
OGLE-LMC-CEP-1943    0.7456346     15.950      0.350      0.196     14.972      0.382      0.139      0.270      0.351     -0.088     -0.073
OGLE-LMC-CEP-1945    0.8856527     16.047      0.291      0.092     14.851      0.304      0.092      0.256      0.189     -0.303     -0.201
OGLE-LMC-CEP-1946    0.5408546     16.021      0.461      0.237     15.207      0.451      0.233      0.031     -0.056     -0.072      0.027
OGLE-LMC-CEP-1947    0.5282075     16.120      0.408      0.185     15.349      0.402      0.182     -0.021     -0.030     -0.013     -0.003
OGLE-LMC-CEP-1948    0.6005564     15.699      0.402      0.167     15.028      0.396      0.178     -0.099     -0.132     -0.089     -0.046
OGLE-LMC-CEP-1950    0.8197650     15.754      0.310      0.083     14.789      0.300      0.071      0.108      0.144     -0.139     -0.185
OGLE-LMC-CEP-1952    0.8313894     15.010      0.131      0.027     14.195      0.140      0.016     -0.212      0.187      0.259     -0.212
OGLE-LMC-CEP-1954    1.1122565     14.663      0.221      0.122     13.686      0.176      0.110      0.135      0.076     -0.148     -0.010
OGLE-LMC-CEP-1956    0.9445645     15.256      0.196      0.077     14.383      0.222      0.101     -0.536      0.333      0.466     -0.319
OGLE-LMC-CEP-1957    0.8334140     14.643      0.396      0.219     13.636      0.361      0.148      0.129      0.065     -0.185     -0.065
OGLE-LMC-CEP-1959    0.5638984     16.517      0.453      0.242     15.597      0.446      0.238     -0.026     -0.110      0.062      0.108
OGLE-LMC-CEP-1960    0.5427797     16.016      0.473      0.268     15.286      0.471      0.259      0.135      0.033     -0.050      0.071
OGLE-LMC-CEP-1964    0.8000895     15.343      0.225      0.010     14.490      0.223      0.022     -0.104      0.152      0.055     -0.248
OGLE-LMC-CEP-1969    0.6702526     15.740      0.351      0.131     14.944      0.342      0.130      0.113      0.085     -0.103     -0.093
OGLE-LMC-CEP-1970    0.4798968     16.305      0.390      0.197     15.506      0.393      0.194      0.011     -0.034      0.028      0.032
OGLE-LMC-CEP-1973    1.0920112     14.734      0.044      0.129     13.770      0.040      0.142     -0.379      0.206      0.334     -0.250
OGLE-LMC-CEP-1977    0.2159571     16.716      0.401      0.218     16.062      0.456      0.264     -0.090     -0.101      0.308      0.259
OGLE-LMC-CEP-1983    0.8630033     15.136      0.322      0.064     14.265      0.316      0.068      0.259      0.191     -0.233     -0.173
OGLE-LMC-CEP-1984    0.7483131     15.411      0.401      0.148     14.597      0.396      0.143      0.139      0.069     -0.108     -0.042
OGLE-LMC-CEP-1985    0.3065541     17.069      0.496      0.314     16.298      0.505      0.332     -0.000     -0.082      0.088      0.160
OGLE-LMC-CEP-1986    0.7029078     15.255      0.414      0.171     14.623      0.415      0.165      0.105      0.035     -0.127     -0.044
OGLE-LMC-CEP-1988    0.7230516     15.387      0.376      0.136     14.553      0.380      0.149      0.111      0.058     -0.130     -0.068
OGLE-LMC-CEP-1990    0.6067776     15.709      0.383      0.178     14.971      0.379      0.176      0.031     -0.010     -0.064     -0.026
OGLE-LMC-CEP-1993    0.4876732     16.209      0.391      0.186     15.439      0.411      0.192     -0.025     -0.061      0.015      0.024
OGLE-LMC-CEP-1994    0.8895269     14.710      0.310      0.197     14.035      0.306      0.201      0.202      0.091     -0.175     -0.070
OGLE-LMC-CEP-1995    0.4999038     16.188      0.319      0.105     15.411      0.318      0.110     -0.116      0.004      0.022     -0.099
OGLE-LMC-CEP-1998    0.4894496     15.970      0.411      0.237     15.279      0.420      0.225      0.005     -0.068      0.023      0.074
OGLE-LMC-CEP-1999    0.6186638     15.572      0.380      0.166     14.869      0.375      0.172      0.060      0.009     -0.055     -0.031
OGLE-LMC-CEP-2000    0.6711888     15.679      0.440      0.177     14.929      0.436      0.186      0.213      0.034     -0.175     -0.040
OGLE-LMC-CEP-2001    0.6163108     15.655      0.420      0.178     14.888      0.397      0.187      0.110      0.038     -0.072     -0.011
OGLE-LMC-CEP-2003    0.5496878     15.931      0.399      0.177     15.157      0.395      0.180      0.048      0.039     -0.027     -0.007
OGLE-LMC-CEP-2004    0.4958660     16.210      0.399      0.186     15.436      0.410      0.192     -0.056     -0.060     -0.008      0.015
OGLE-LMC-CEP-2007    0.7776771     15.467      0.126      0.006     14.642      0.122      0.024     -0.276      0.221      0.267     -0.238
OGLE-LMC-CEP-2008    0.8761458     14.948      0.265      0.032     14.187      0.260      0.024      0.122      0.221     -0.114     -0.249
OGLE-LMC-CEP-2012    0.8726268     14.963      0.350      0.071     14.145      0.341      0.070      0.150      0.152     -0.145     -0.155
OGLE-LMC-CEP-2013    0.5945568     15.769      0.385      0.175     15.028      0.396      0.190      0.069     -0.002     -0.089     -0.028
OGLE-LMC-CEP-2014    0.4324138     16.351      0.463      0.237     15.606      0.461      0.238     -0.077     -0.111      0.010      0.082
OGLE-LMC-CEP-2015    0.8041201     14.899      0.400      0.154     14.196      0.390      0.143      0.083     -0.001     -0.071     -0.029
OGLE-LMC-CEP-2017    0.6939453     15.351      0.424      0.192     14.607      0.426      0.197      0.094     -0.005     -0.087      0.003
OGLE-LMC-CEP-2018    0.8556076     15.234      0.362      0.157     14.353      0.354      0.161      0.233      0.121     -0.225     -0.087
OGLE-LMC-CEP-2019    1.4487589     13.704      0.429      0.297     12.731      0.393      0.243      0.260      0.058     -0.471     -0.076
OGLE-LMC-CEP-2021    0.6188698     15.840      0.378      0.161     15.046      0.382      0.170      0.070      0.037     -0.087     -0.053
OGLE-LMC-CEP-2022    0.7696096     15.125      0.415      0.153     14.365      0.410      0.151      0.148      0.057     -0.116     -0.034
OGLE-LMC-CEP-2023    1.2101364     13.853      0.257      0.175     12.924      0.249      0.204     -0.091     -0.081      0.070      0.048
OGLE-LMC-CEP-2027    0.6508623     15.687      0.266      0.093     14.901      0.263      0.080     -0.054      0.075      0.065     -0.143
OGLE-LMC-CEP-2028    0.9071048     14.822      0.246      0.226     14.030      0.247      0.212     -0.747      0.177      0.689     -0.216
OGLE-LMC-CEP-2030    1.1421188     14.489      0.077      0.103     13.473      0.082      0.115     -0.430      0.118      0.357     -0.174
OGLE-LMC-CEP-2031    0.5005068     15.891      0.427      0.195     15.181      0.398      0.198     -0.042     -0.097      0.074      0.049
OGLE-LMC-CEP-2036    0.6497786     15.327      0.434      0.218     14.656      0.424      0.211      0.057     -0.038     -0.019      0.045
OGLE-LMC-CEP-2038    0.5558359     16.091      0.412      0.188     15.277      0.395      0.185      0.010      0.030     -0.042     -0.024
OGLE-LMC-CEP-2039    0.1991360     16.774      0.413      0.185     16.121      0.413      0.204     -0.128     -0.124      0.173      0.114
OGLE-LMC-CEP-2040    0.4372255     16.196      0.404      0.177     15.463      0.397      0.166     -0.113     -0.065      0.005     -0.017
OGLE-LMC-CEP-2042    0.8494545     15.004      0.318      0.150     14.242      0.296      0.144      0.188      0.136     -0.201     -0.151
OGLE-LMC-CEP-2043    0.8676519     15.187      0.248      0.018     14.334      0.245      0.026      0.151      0.254     -0.176     -0.300
OGLE-LMC-CEP-2044    0.9420414     14.814      0.184      0.196     14.007      0.198      0.197     -0.605      0.290      0.594     -0.200
OGLE-LMC-CEP-2047    0.3970715     16.520      0.463      0.263     15.758      0.469      0.255     -0.028     -0.097      0.050      0.118
OGLE-LMC-CEP-2050    0.8747655     14.678      0.416      0.164     13.944      0.406      0.159      0.166      0.034     -0.167     -0.038
OGLE-LMC-CEP-2051    0.8645167     14.867      0.374      0.190     14.100      0.357      0.184      0.263      0.124     -0.240     -0.078
OGLE-LMC-CEP-2052    0.5692338     16.028      0.410      0.185     15.225      0.397      0.181      0.014     -0.006     -0.057     -0.012
OGLE-LMC-CEP-2055    0.5346620     16.139      0.530      0.289     15.358      0.492      0.280      0.056     -0.043     -0.011      0.122
OGLE-LMC-CEP-2056    1.1998641     14.131      0.241      0.168     13.236      0.223      0.154      0.015     -0.080     -0.012      0.121
OGLE-LMC-CEP-2057    0.4412401     16.248      0.436      0.198     15.521      0.438      0.211     -0.056     -0.098      0.002      0.043
OGLE-LMC-CEP-2058    0.4478590     16.198      0.451      0.234     15.466      0.452      0.229     -0.052     -0.120      0.006      0.076
OGLE-LMC-CEP-2060    0.6316006     15.789      0.429      0.180     14.997      0.414      0.185      0.104      0.044     -0.097     -0.028
OGLE-LMC-CEP-2061    0.9886072     14.629      0.212      0.097     13.812      0.201      0.109     -0.574      0.354      0.519     -0.287
OGLE-LMC-CEP-2064    0.4892306     16.356      0.438      0.210     15.544      0.434      0.218     -0.024     -0.065     -0.013      0.042
OGLE-LMC-CEP-2065    0.5780297     15.780      0.442      0.261     15.045      0.449      0.253      0.120     -0.004      0.016      0.122
OGLE-LMC-CEP-2066    0.8717082     14.824      0.329      0.230     14.119      0.312      0.234      0.246      0.083     -0.211     -0.044
OGLE-LMC-CEP-2068    0.5673116     15.986      0.342      0.101     15.207      0.339      0.116     -0.090      0.035      0.017     -0.089
OGLE-LMC-CEP-2069    0.4047588     16.540      0.447      0.236     15.763      0.454      0.234     -0.048     -0.095      0.034      0.088
OGLE-LMC-CEP-2074    0.5407797     15.949      0.416      0.210     15.206      0.418      0.209      0.057     -0.007     -0.082      0.001
OGLE-LMC-CEP-2075    0.6199086     15.583      0.391      0.192     14.855      0.415      0.198      0.064      0.000     -0.057      0.001
OGLE-LMC-CEP-2078    0.4954098     16.146      0.434      0.220     15.374      0.451      0.241      0.029     -0.055     -0.027      0.064
OGLE-LMC-CEP-2079    0.5341410     16.005      0.399      0.204     15.239      0.395      0.191     -0.028     -0.056     -0.051     -0.005
OGLE-LMC-CEP-2081    0.4466228     16.132      0.450      0.279     15.429      0.475      0.265     -0.030     -0.126      0.062      0.152
OGLE-LMC-CEP-2084    0.4712356     15.890      0.201      0.084     15.187      0.204      0.078      0.016      0.125      0.085     -0.137
OGLE-LMC-CEP-2090    0.8589207     14.961      0.361      0.189     14.180      0.359      0.190      0.276      0.139     -0.251     -0.087
OGLE-LMC-CEP-2091    0.5336437     16.204      0.429      0.224     15.363      0.427      0.218      0.030     -0.040     -0.026      0.040
OGLE-LMC-CEP-2092    0.4320262     16.125      0.444      0.232     15.434      0.466      0.250     -0.038     -0.139      0.073      0.130
OGLE-LMC-CEP-2093    0.7028552     15.518      0.392      0.161     14.702      0.389      0.159      0.102      0.055     -0.110     -0.056
OGLE-LMC-CEP-2094    0.8791067     15.126      0.257      0.034     14.263      0.245      0.027      0.134      0.260     -0.121     -0.277
OGLE-LMC-CEP-2096    0.7761245     15.053      0.393      0.099     14.012      0.374      0.115      0.096      0.079     -0.150     -0.105
OGLE-LMC-CEP-2097    0.6032420     16.019      0.340      0.120     15.226      0.354      0.131      0.036      0.069     -0.051     -0.078
OGLE-LMC-CEP-2099    0.8384588     14.966      0.271      0.042     14.260      0.263      0.024     -0.008      0.146     -0.037     -0.225
OGLE-LMC-CEP-2100    0.7670138     15.464      0.258      0.030     14.655      0.236      0.032     -0.116      0.131      0.062     -0.235
OGLE-LMC-CEP-2101    0.5511349     15.737      0.419      0.207     15.024      0.423      0.222     -0.009     -0.082      0.032      0.074
OGLE-LMC-CEP-2102    1.0886080     14.573      0.040      0.152     13.661      0.038      0.147     -0.427      0.198      0.341     -0.251
OGLE-LMC-CEP-2105    0.6765084     16.130      0.421      0.177     15.204      0.415      0.176      0.193      0.032     -0.178     -0.027
OGLE-LMC-CEP-2106    0.7237676     15.548      0.315      0.077     14.705      0.313      0.071      0.080      0.147     -0.078     -0.173
OGLE-LMC-CEP-2108    0.5158900     15.995      0.418      0.196     15.280      0.432      0.218     -0.011     -0.058     -0.004      0.048
OGLE-LMC-CEP-2109    0.8141104     15.202      0.425      0.187     14.398      0.412      0.170      0.184      0.059     -0.129     -0.016
OGLE-LMC-CEP-2111    0.3754908     16.281      0.452      0.246     15.575      0.465      0.252     -0.047     -0.234      0.126      0.139
OGLE-LMC-CEP-2112    0.6144703     15.479      0.442      0.231     14.790      0.434      0.221      0.049     -0.061      0.021      0.090
OGLE-LMC-CEP-2113    0.6640212     16.798      0.422      0.189     15.553      0.423      0.188      0.139      0.060     -0.110      0.002
OGLE-LMC-CEP-2115    0.5887353     16.084      0.300      0.084     15.251      0.317      0.091     -0.057      0.066      0.031     -0.095
OGLE-LMC-CEP-2120    0.6635551     15.874      0.227      0.019     15.040      0.235      0.046     -0.112      0.146      0.120     -0.199
OGLE-LMC-CEP-2121    0.6105344     15.620      0.448      0.233     14.917      0.464      0.247      0.089     -0.036     -0.089      0.059
OGLE-LMC-CEP-2122    0.4106714     16.167      0.488      0.239     15.516      0.471      0.254      0.022     -0.068      0.080      0.141
OGLE-LMC-CEP-2127    0.8699979     15.147      0.261      0.041     14.300      0.257      0.037      0.191      0.239     -0.185     -0.231
OGLE-LMC-CEP-2129    0.6030314     15.719      0.456      0.250     15.002      0.473      0.258      0.120     -0.023     -0.061      0.085
OGLE-LMC-CEP-2132    0.6704673     15.457      0.368      0.181     14.643      0.410      0.193      0.021     -0.041     -0.041     -0.001
OGLE-LMC-CEP-2133    1.0516410     14.761      0.041      0.129     13.860      0.052      0.139     -0.384      0.197      0.352     -0.221
OGLE-LMC-CEP-2134    0.6516631     15.842      0.393      0.148     15.013      0.395      0.160      0.058      0.059     -0.108     -0.053
OGLE-LMC-CEP-2136    0.4664299     16.159      0.410      0.213     15.432      0.418      0.213     -0.007     -0.088      0.044      0.081
OGLE-LMC-CEP-2138    0.4786923     16.246      0.454      0.245     15.471      0.444      0.245     -0.061     -0.124      0.034      0.117
OGLE-LMC-CEP-2140    0.4904711     16.021      0.490      0.278     15.319      0.490      0.283      0.010     -0.087      0.010      0.131
OGLE-LMC-CEP-2142    0.7268681     15.622      0.153      0.017     14.791      0.180      0.015     -0.141      0.246      0.258     -0.177
OGLE-LMC-CEP-2145    0.7942936     15.346      0.317      0.054     14.461      0.296      0.061      0.092      0.145     -0.112     -0.199
OGLE-LMC-CEP-2146    0.6919870     15.608      0.409      0.152     14.809      0.406      0.158      0.110      0.083     -0.146     -0.075
OGLE-LMC-CEP-2148    0.5099523     16.145      0.466      0.267     15.377      0.455      0.236     -0.009     -0.071     -0.053      0.043
OGLE-LMC-CEP-2151    0.7673926     15.622      0.089      0.046     14.757      0.089      0.006     -0.417      0.132      0.355     -0.159
OGLE-LMC-CEP-2152    0.7736528     15.407      0.393      0.116     14.566      0.385      0.115      0.158      0.085     -0.203     -0.104
OGLE-LMC-CEP-2153    0.6175835     15.580      0.461      0.243     14.888      0.460      0.246      0.087     -0.049     -0.083      0.063
